50PLUS,1,1,1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,-1,1,1,1,1,-1,1,-1,1,-1,-1
BBB,-1,1,1,-1,-1,1,-1,1,1,-1,-1,1,1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1
BIJ1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1
CDA,-1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,-1
Code Oranje,-1,1,1,0,-1,1,-1,1,1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,1,1,-1,1,1,1,1,-1,-1,1
CU,-1,1,0,-1,1,-1,1,-1,-1,-1,-1,-1,0,1,1,1,1,1,-1,1,-1,-1,1,-1,-1,1,0,-1,1,-1
D66 ,1,1,1,-1,1,1,1,-1,-1,1,-1,1,0,1,-1,1,1,1,-1,1,-1,1,1,1,-1,-1,-1,1,1,-1
DENK,-1,-1,0,-1,1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1
FVD,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,1,1,-1,1,-1,1,-1,-1,1
GROENLINKS,-1,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,0,-1,1,-1,1,-1,1,-1,1,1,1,-1,1,-1,1,1,-1
HENK KROL,-1,1,-1,-1,0,0,-1,1,1,-1,0,1,1,-1,1,-1,1,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,1
JA21,-1,1,-1,-1,0,1,-1,1,-1,-1,-1,-1,1,0,1,-1,1,-1,1,-1,1,1,1,-1,1,-1,1,-1,-1,0
JEZUS LEEFT,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,1,0,-1,1,-1,1,-1,1,1,-1,1
JONG,1,0,1,-1,1,-1,1,0,1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,-1
LIBERTAIRE PARTIJ,1,0,-1,0,1,1,-1,1,-1,1,-1,1,1,0,1,-1,1,-1,-1,-1,0,1,-1,1,0,-1,1,-1,-1,1
LIJST 30,-1,-1,1,0,-1,1,-1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,1
NIDA,-1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,0,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1
NLBETER,1,1,1,-1,1,-1,1,-1,1,-1,-1,1,0,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,-1
OPRECHT,-1,1,1,-1,0,1,-1,1,1,-1,0,1,1,0,-1,-1,1,-1,1,1,1,-1,1,0,1,1,1,0,-1,1
PIRATENPARTIJ,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,1,0,1,1,1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,1
PVDA,-1,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,-1,1,-1,1,1,-1
PVDD,-1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,-1,1,1,1
PVV,-1,1,-1,1,-1,1,-1,1,0,-1,1,-1,1,0,1,-1,1,1,1,-1,1,-1,1,0,1,1,1,-1,-1,-1
SGP,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,0,1,-1,-1,1,1,1,-1,-1,1,-1,1,0,1,-1,-1,1
SP,-1,-1,1,-1,-1,1,-1,-1,1,-1,0,1,-1,1,1,1,1,1,-1,-1,-1,1,0,-1,-1,1,-1,1,1,-1
Splinter,-1,1,1,-1,1,-1,1,-1,1,-1,-1,1,0,1,1,-1,1,1,-1,1,1,1,1,1,-1,1,-1,1,-1,1
Trots op Nederland,-1,1,1,-1,1,1,-1,1,1,-1,-1,1,1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1
UCF,-1,1,1,-1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,1,-1,1,0,1,-1,1,1,-1
Volt,1,1,1,-1,1,-1,1,-1,-1,1,1,1,1,1,-1,1,-1,-1,-1,1,-1,1,-1,0,-1,-1,-1,1,1,-1
VVD ,1,1,-1,-1,0,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,0,1,-1,1,0,1,1,1,-1,1,-1,-1,-1
