  846|    2|    0|    7|    6|    1|    7|    2|    2|    2|   17|    5|    2|    7|    6|    2|    2|   10|    7|    0|   10|    4|    4|    0|    6|   15|    5|    3|   13|    7|
    8|  767|    2|    5|   21|    0|    2|    0|   10|    1|   20|   13|    8|   10|    5|   22|    2|    7|   53|    5|    1|    1|    2|    1|    2|    4|   17|    0|    1|   10|
    4|    3|  616|    0|    4|    1|   14|    5|    0|   29|    1|    0|    2|   14|    2|    1|   32|    3|    0|   19|    4|    6|    1|    1|    7|    4|    2|    8|   17|    0|
  115|   39|    6| 8175|   14|   66|   32|   20|   43|    6|   38|   85|   28|   16|   15|   58|   25|   24|   60|   13|   40|    7|  145|   95|   88|   33|   37|   12|   38|  127|
   11|   71|    5|    8| 2786|    4|    5|   12|   22|    3|   27|   10|   12|   38|   49|   41|    6|   18|   54|   23|    7|    1|   33|   11|   14|   13|   76|   12|    2|   26|
    2|    0|    0|    4|    0|  331|    3|    4|    0|    2|    0|    3|    3|    2|    1|    1|    6|    4|    0|    4|    5|    4|    1|    5|    1|    5|    1|    6|    2|    0|
  108|   46|  125|   50|   35|  207|12418|   42|    8|  277|   25|   15|   38|  112|   83|   13|   38|  107|   19|  118|  150|   84|    3|   25|   91|   76|   14|  201|  435|   37|
    7|    1|   20|    2|    6|   17|    8| 1631|    2|   16|    6|    1|   17|    5|    8|    5|   71|    3|    8|   28|    9|   22|    8|   10|   34|    4|    3|   35|   12|    1|
   13|   84|    3|   32|   50|   10|    4|    2| 3659|    2|  106|  493|   48|   13|   81|   40|    2|   14|   21|    3|    6|    1|  128|   74|    8|    3|   23|    2|    5|   70|
   21|   13|  194|    7|    7|   50|  139|   29|    0| 4045|    7|    0|   17|   59|    7|   17|   75|   40|    5|   63|   55|  110|    6|   10|   60|   44|    6|   59|   54|    1|
    1|    3|    0|    0|    2|    0|    0|    1|    1|    0|   78|    0|    0|    2|    2|    3|    0|    1|    3|    0|    0|    1|    0|    0|    0|    1|    1|    0|    0|    0|
   14|   31|    3|   28|   17|   19|    4|    2|  233|    2|   63| 1666|   25|    9|   45|   20|    3|   11|   19|    0|    4|    2|   40|   46|    5|    3|   23|    3|    2|   58|
    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|
    0|    0|    1|    0|    0|    2|    0|    1|    1|    0|    1|    0|    0|   82|    0|    0|    0|    4|    0|    1|    0|    0|    0|    2|    0|    0|    0|    1|    1|    3|
    2|    0|    0|    0|    2|    0|    1|    0|    1|    0|    3|    0|    1|    1|   78|    1|    0|    1|    0|    2|    0|    0|    0|    1|    0|    1|    1|    0|    3|    1|
    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|
    0|    1|   10|    0|    0|    6|    1|   17|    0|    2|    0|    0|    1|    2|    0|    1|  242|    1|    1|    2|    0|    1|    1|    3|    2|    0|    1|    3|    2|    0|
    0|    0|    0|    0|    0|    0|    1|    0|    0|    0|    1|    0|    1|    2|    0|    0|    0|   90|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    0|    1|
    1|    5|    0|    1|    1|    1|    0|    0|    0|    0|    2|    0|    0|    1|    0|    1|    0|    3|   77|    0|    0|    0|    4|    0|    0|    1|    2|    0|    0|    0|
    1|    0|    3|    0|    0|    0|    5|    4|    0|    3|    1|    1|    0|    0|    1|    2|    5|    0|    1|  155|    0|    3|    0|    1|    8|    1|    1|    4|    0|    0|
  144|    9|   32|   54|   11|  101|   69|   24|    2|   66|   10|    5|   21|   77|    5|    2|   12|   37|    9|   26| 4629|   62|   20|   17|   55|   69|    8|   56|   49|   19|
   26|    4|   60|    4|    6|   45|   36|   60|    1|   89|   16|    1|   25|   25|    4|    9|   25|   20|    5|   76|  112| 2854|    3|    7|   79|  107|    8|   60|   30|    3|
   55|   33|    5|  255|  125|   55|    4|   41|  285|    2|   92|  173|   54|   33|   46|   69|   12|   39|  137|   14|   27|    6| 8736|  126|   27|   12|   89|   19|    4|  225|
    2|   11|    2|   27|    5|   33|    1|    6|   16|    1|   15|   47|   25|    7|   12|    5|    9|   12|   28|    2|    6|    2|   23| 1759|    0|    8|   13|    1|    2|   20|
   31|    5|   65|   46|   23|   61|   39|  109|    4|   54|   16|   10|   18|   24|   14|   44|   83|   29|   11|  184|   56|   77|   18|    3| 4805|   23|   13|  112|   16|    7|
    2|    2|    2|    1|    3|    4|    1|    1|    0|    5|    3|    0|    4|    6|    0|    3|    1|    5|    1|    1|   14|    6|    1|    0|    0|  229|    0|    3|    2|    0|
    1|    1|    0|    1|    2|    0|    2|    0|    3|    0|    3|    0|    0|    0|    1|    2|    1|    1|    3|    0|    0|    0|    2|    0|    0|    1|   71|    3|    0|    2|
    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|
   24|    2|   25|    9|    2|   20|   89|   18|    2|   29|    2|    2|    3|   18|   10|    4|    5|    4|    2|    9|   28|   14|    2|    0|   10|    7|    0|   19| 2032|    9|
  223|  183|   21|  352|  142|   37|   56|   18|  238|   16|  278|  472|   60|  121|  248|   98|    8|  107|  141|    3|   42|    1|  564|  232|   17|    4|   80|   22|   72|18044|
